2.896	1.643877364	*Tucana III
3.092	1.275089878	*Draco II
3.012	1.504827497	*Reticulum 2
1.924	1.218479714	*Cetus II
3.336	2.104767506	*Tucana IV
3.5	1.965877364	*Grus II
2.576	1.205726114	*Tucana V
3.452	2.216279631	Tucana 2
4.024	1.590756109	*Sagittarius II
3.292	1.480997409	*Horologium 1
2.732	1.136119873	*Eridanus 3
3.052	1.421152611	*Phoenix 2
3.256	1.805937355	*Reticulum III
3.332	1.564096659	*Indus 1
3.292	1.79169938	*Grus 1
3.172	1.468208786	*Pictoris 1
3.732	2.002479714	*Columba I
3.556	1.889669466	*Pegasus 3
3.632	2.256124111	*Indus I ?
8.504	2.041823971	M32
6.832	3.16663947	And XXXII
5.12	2.428059882	And XXX
7.832	2.660266294	NGC 185
7.932	2.786971987	IC 10
6.612	2.966975404	And XXXI
5.984	2.671945408	LGS 3
6.068	2.582175035	And XXXIII
8.008	3.174873225	IC 1613
5.888	2.656913958	Phoenix
4.572	2.228417544	Eridanus 2
8.016	2.548971987	NGC 6822
6.82	2.749945408	Pegasus dIrr
5.132	2.079361308	Leo T
7.632	3.369233379	WLM
6.776	2.698164573	Leo A
6.192	2.661043448	Aquarius
6.548	2.450767506	Sagittarius dIrr
6.92	2.21050997	UGC 4879
7.88	3.211194569	NGC 3109
7.72	2.643031979	Sextans B
6.112	2.67290736	Antlia
7.644	3.012423067	Sextans A
6.54	2.446696118	ESO 410- G 005
6.3	2.419823971	KKR 25
9.344	3.462375815	NGC 55
6.428	2.394975404	ESO 294- G 010
9.328	3.480696118	NGC 300
8.152	2.740497848	IC 5152
6.656	2.671906088	KKH 98
7.22	2.761968623	UKS 2323-326
6.152	3.833291602	KK 258
5.732	2.360028614	KKR 3
6.784	2.545600969	KKs3
6.808	2.306876092	GR 8
6.892	2.629906088	UGC 9128
7.276	2.498975404	UGC 8508
7.524	3.122922171	IC 3104
7.676	2.892759453	DDO 125
7.196	2.908853967	UGCA 86
7.2	2.831968623	DDO 99
8.268	2.532967351	IC 4662
7.704	2.715906088	DDO 190
5.916	2.322884145	KKH 86
7.564	2.572938627	NGC 4163
6.312	2.778824154	DDO 113
5.12	3.595783647	Pal 2
2.072	3.326309145	Ko 2
3.58	3.694331114	E 3
2.472	3.562573046	Ko 1
5.048	3.817906094	NGC 4372
5.2	3.6621236	NGC 4833
6.036	3.874400982	NGC 5139
5.484	3.83572945	NGC 5272
5.428	3.394025896	NGC 5286
5.056	3.390875794	NGC 5927
4.804	3.436188041	NGC 5946
3.556	3.695624696	BH 176
4.572	3.443300255	Lynga 7
4.808	3.443532145	NGC 6121
4.672	3.625960669	NGC 6144
5.276	3.39871872	NGC 6139
3.86	3.473478981	Terzan 3
4.78	3.508957136	NGC 6171
3.54	3.079269674	1636-283
4.512	2.984409427	FSR 1735
4.448	3.525276091	NGC 6235
4.792	3.409232435	NGC 6256
4.136	4.159514085	Pal 15
5.604	3.260491956	NGC 6266
5.584	3.530068774	NGC 6273
4.876	3.304902857	NGC 6287
5.044	3.390743462	NGC 6293
4.852	3.382773389	NGC 6304
5.268	3.296167979	NGC 6316
4.716	3.153980239	NGC 6325
5.112	3.342298237	NGC 6333
4.5	3.258740148	NGC 6342
5.16	3.37409023	NGC 6355
4.392	4.008868546	IC 1257
4.284	3.521939548	Terzan 2
4.228	3.476693641	NGC 6366
3.724	3.589441704	Terzan 4
4.516	3.869707521	HP 1
4.932	3.369743697	NGC 6380
3.696	3.872347473	Terzan 1
4.4	3.492482143	Ton 2
5.696	3.179403492	NGC 6388
5.572	3.543754089	NGC 6402
5.092	3.76761651	NGC 6401
4.648	3.306851143	Pal 6
4.6	3.740627649	NGC 6426
4.724	3.799833007	Djorg 1
4.9	3.161226367	Terzan 5
5.432	3.074025317	NGC 6440
5.784	3.284671322	NGC 6441
4.968	2.940297338	Terzan 6
4.82	3.170244494	NGC 6453
3.416	3.207938885	Terzan 9
4.732	3.278321547	Djorg 2
5.232	3.191034225	NGC 6517
4.472	3.419349742	Terzan 10
4.992	3.351166996	NGC 6522
3.832	3.229424853	NGC 6535
4.56	2.942524107	NGC 6528
5.248	3.585016827	NGC 6539
4.708	3.011476264	NGC 6544
5.34	3.368865901	NGC 6541
4.376	3.233794772	2MS-GC01
5.04	3.249526003	NGC 6553
3.876	2.900085339	2MS-GC02
4.508	3.662079784	NGC 6558
4.6	3.573366006	IC 1276
3.588	3.016033677	Terzan 12
5.244	3.403381883	NGC 6569
3.608	3.019658428	BH 261
5.196	3.496027934	NGC 6626
4.78	3.147498759	NGC 6638
4.596	3.239339662	NGC 6642
5.332	3.505971527	NGC 6656
4.136	3.333447646	Pal 8
4.296	2.901849471	GLIMPSE01
4.932	3.432409737	NGC 6712
5.924	3.801283108	NGC 6715
4.612	3.405271087	NGC 6749
5.068	3.431909572	NGC 6760
4.248	3.232262187	Pal 10
4.7	3.755956363	Pal 11
1.956	0.342	Segue_III
2.012	1.342	SDSS_J1058+2843
2.176	0.324	Koposov_2
2.532	1.32	Segue_I
2.652	1.531	Leavens_2/Triangulum_II
2.72	0.603	AM_4
2.932	1.509	Segue_II
2.956	0.285	Whiting_1
2.972	1.672	Horologium_II
3.012	1.26	Willman_I
3.012	1.656	"Bo""otes_II"
3.136	0.169	Pal_1
3.188	1.207	Pal_4
3.448	0.681	M33-D
3.5	0.434	Pal_13
3.536	0.379	BH24
3.572	1.783	Coma_Berenices
3.612	1.957	Ursa_Major_II
3.644	0.562	Koposov_1
3.68	1	ESO121-SC03
3.692	1.431	HEC13
3.732	1.322	HEC3
3.744	0.978	Pal_12
3.752	1.686	Pisces_II
3.824	1.167	AM_1
3.832	1.768	Canes_Venatici_II
3.852	1.893	Leo_V
3.852	1.833	Hydra_II
3.86	0.341	BH11
3.904	1.432	Pal_14
3.928	0.477	BH04
3.944	0.518	BH29
3.968	0.716	M33-E
3.972	1.342	HEC8
3.972	0.814	ESO-SC06
4.008	1.08	Eridanus
4.012	1.23	GC0606
4.02	1.286	Reticulum
4.02	0.875	NGC_6822_C3
4.028	0.707	Terzan_7
4.04	1.264	Pal_5
4.052	1.23	HEC2
4.104	0.399	DAO38
4.108	1.094	Fornax_1
4.116	0.858	Terzan_8
4.132	2.154	Ursa_Major_I
4.132	1.38	HEC6
4.148	0.55	M091
4.176	1.165	Arp_2
4.252	2.168	Leo_IV
4.256	0.944	NGC_7492
4.26	1.241	Pal_3
4.268	0.467	B333
4.288	1.308	M33-A
4.288	0.337	B056D
4.332	1.38	HEC9
4.332	1.38	HEC1
4.356	1.14	NGC_6822_C4
4.372	1.061	NGC_6822_C2
4.384	0.328	B279
4.408	1.223	M33-S
4.416	0.257	B090
4.424	0.43	NGC_4147
4.424	0.383	B324
4.428	0.785	Hubble_VIII
4.452	1.279	HEC10
4.452	2.276	"Bo""otes_I"
4.452	2.016	And_XX
4.476	0.39	B374
4.48	0.142	NGC_6717
4.492	2.483	And_XII
4.496	1.026	N1023-FF-4
4.5	0.284	NGC_6838
4.528	0.941	B331
4.532	2.158	And_XXII
4.532	0.183	BH18
4.532	0.567	B462
4.56	0.504	B422
4.564	1.125	N1023-FF-6
4.568	0.863	M33-C
4.568	0.379	B363
4.572	2.271	Hercules
4.572	0.26	B160
4.576	0.586	B336
4.584	0.893	N1023-FF-1
4.592	0.85	acs782
4.6	1.167	N1023-FF-15
4.604	1.431	HEC12
4.612	1.342	Scl-dE1_GC1
4.612	1.301	HEC11
4.612	2.316	And_XIII
4.616	0.712	acs805
4.636	0.484	NGC_2298
4.636	0.503	B368
4.64	0.992	N1023-FF-7
4.64	0.777	B041
4.648	1.12	NGC_5053
4.66	0.505	B328
4.664	1.187	N1023-FF-9
4.672	0.761	NGC_288
4.688	0.868	B468
4.692	2.196	And_XI
4.7	0.91	N1023-FF-10
4.7	0.036	B155
4.708	1.026	N1023-FF-2
4.712	0.143	NGC_6652
4.716	0.331	B330
4.72	0.339	B396
4.724	1.023	NGC_5466
4.724	1.008	NGC_2257
4.732	0.805	Rup_106
4.732	1.312	N1023-FF-14
4.744	1.301	HEC7
4.752	0.587	B351
4.752	0.337	NGC_3115_A253
4.76	0.464	B319
4.76	0.489	B236
4.772	0.673	NGC_6101
4.772	0.2	B264
4.772	2.284	And_XXVI
4.776	0.788	acs607
4.788	0.859	Fornax_2
4.792	0.434	NGC_1754
4.792	0.72	B018
4.804	0.519	NGC_6352
4.808	0.973	M33-B
4.808	0.667	Fornax_5
4.812	0.662	NGC_6981
4.82	0.283	NGC_6397
4.828	0.653	NGC_6362
4.828	1.228	N1023-FF-12
4.832	0.241	NGC_3115_A223
4.836	0.242	B123
4.84	0.581	G339
4.84	1.422	acs580
4.844	0.564	G353
4.852	0.098	NGC_3115_A233
4.856	1.053	NGC_339
4.872	0.268	NGC_6681
4.876	0.227	NGC_3115_A203
4.884	0.843	Hodge_11
4.888	0.262	NGC_3115_A210
4.896	0.571	NGC_3115_A222
4.904	0.118	B231
4.912	1.262	HEC4
4.912	0.439	NGC_3115_A190
4.928	0.201	B114
4.932	0.569	B361
4.932	0.493	Fornax_4
4.932	0.16	NGC_3115_A232
4.94	0.871	NGC_5897
4.944	0.652	NGC_4590
4.944	0.405	NGC_3115_A158
4.948	0.384	NGC_3115_A198
4.952	0.385	NGC_7099
4.952	1.095	N1023-FF-18
4.956	0.652	NGC_1466
4.956	0.04	NGC_3115_A167
4.956	0.262	NGC_3115_A176
4.96	0.195	NGC_3115_A168
4.96	0.726	NGC_3115_A229
4.972	2.297	And_X
4.972	2.502	And_XXIV
4.976	0.702	A197
4.984	0.638	NGC_3115_A173
4.98	0.706	NGC_3115_A131
4.98	0.227	NGC_3115_A181
4.984	0.162	NGC_3115_A193
4.988	0.554	NGC_3115_A155
4.988	0.351	NGC_3115_A209
4.988	0.286	NGC_3115_A214
4.988	0.351	NGC_3115_A220
4.992	0.322	NGC_2005
5	0.995	N1023-FF-5
5	0.428	NGC_3115_A212
5.004	1.382	HEC5
5.004	0.312	NGC_3115_A165
5.008	0.523	NGC_6496
5.008	0.481	NGC_3115_A221
5.012	1.146	NGC_6822_C1
5.012	0.241	NGC_3115_A146
5.016	0.576	B156
5.016	0.417	NGC_3115_A138
5.016	0.458	NGC_3115_A160
5.016	-0.052	NGC_3115_A187
5.016	0.746	NGC_3115_A204
5.024	0.361	NGC_3115_A213
5.032	0.512	B196
5.032	0.311	NGC_4278_GC_79
5.036	0.175	NGC_3115_A141
5.04	0.494	NGC_6934
5.04	0.994	NGC_1841
5.044	0.501	NGC_3115_A177
5.048	0.36	NGC_4278_GC_140
5.056	0.68	NGC_3115_A192
5.056	0.952	NGC_3115_UCD23
5.06	0.796	NGC_1898
5.06	0.653	NGC_3115_A133
5.064	0.721	NGC_7006
5.064	0.642	NGC_6809
5.064	0.508	NGC_1261
5.064	0.323	NGC_3115_A116
5.068	0.149	NGC_4278_GC_67
5.068	0.204	NGC_3115_A179
5.072	0.798	NGC_5634
5.072	0.245	NGC_3115_A134
5.076	0.345	NGC_6752
5.076	0.895	acs486
5.084	0.428	NGC_3115_A175
5.088	0.388	NGC_1904
5.088	1.065	Kron_3
